NAME,PARTY,PC_NAME,AGE,PENDING_CRIMINAL_CASES,CONVICTED_CRIMINAL_CASES,MOVABLE_ASSETS,IMMOVABLE_ASSETS,LIABLITIES,EDUCATION,INCOME_TAX_COMPLIANCE,GOVERNMENT_DUES,LOCAL_RESIDENT,POINTS_FROM_AGE,POINTS_FROM_CRIMINAL_CASES,POINTS_FROM_EDUCATION,POINTS_FROM_INCOME_TAX_COMPLIANCE,POINTS_FROM_GOVT_DUE_COMPLIANCE,POINTS_FROM_LOCAL_RESIDENCY,POINTS_FROM_EARNINGS,POINTS_EARNED
RAM KALYAN CHALLA,Bhartiya Anarakshit Party,8-Secundrabad,37,0,0,7744287,4500000,0,POST GRADUATE,YES,NO,YES,4.0,0.0,4.0,1.0,1.0,1.0,0.0,15.0
VINOD KUMAR GALI,Independent,8-Secundrabad,49,0,0,1164000,6500000,4400000,DOCTORATE,YES,NO,YES,3.0,0.0,5.0,1.0,1.0,1.0,0.0,16.0
ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,8-Secundrabad,49,0,0,5000,0,0,GRADUATE,YES,NO,YES,3.0,0.0,3.0,1.0,1.0,1.0,0.0,12.0
AKHIL CHIRRAVURI,Independent,8-Secundrabad,25,0,0,214000,0,0,POST GRADUATE,YES,NO,YES,5.0,0.0,4.0,1.0,1.0,1.0,1.0,17.0
DR RAMA NIVAS SAHU,Independent,8-Secundrabad,65,0,0,10000000,4000000,0,DOCTORATE,YES,NO,YES,1.0,0.0,5.0,1.0,1.0,1.0,0.0,14.0
SRINIVAS RAO DESHPANDE,Independent,8-Secundrabad,87,0,0,388541,0,0,POST GRADUATE,YES,NO,YES,1.0,0.0,4.0,1.0,1.0,1.0,0.0,12.0
MOHAMMED ABDUL AZEEM,Independent,8-Secundrabad,44,0,0,0,0,0,SSC,NO,NO,YES,3.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
SRIRAMA NAIK MUNAVATH,Independent,8-Secundrabad,33,0,0,14000,0,0,POST GRADUATE,YES,NO,NO,4.0,0.0,4.0,1.0,1.0,0.0,0.0,14.0
MOHD ABDUL SALEEM,Telangana Praja Samithi,8-Secundrabad,27,0,0,230000,0,0,POST GRADUATE,YES,NO,YES,5.0,0.0,4.0,1.0,1.0,1.0,1.0,17.0
P.SAMSON BABU,Independent,8-Secundrabad,38,0,0,61000,0,0,9th Class,NO,NO,YES,4.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0
V.G.SHARMA,Independent,8-Secundrabad,34,0,0,272000,0,0,DOCTORATE,NO,NO,YES,4.0,0.0,5.0,0.0,1.0,1.0,0.0,16.0
JUNAID ANAM SIDDIQUI,Independent,8-Secundrabad,36,0,0,397385,0,0,GRADUATE,YES,NO,YES,4.0,0.0,3.0,1.0,1.0,1.0,0.0,13.0
NUVVULA NARSING RAO,Independent,8-Secundrabad,55,0,0,50000,0,0,SSC,NO,NO,YES,2.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0
SUDHARSHAN A,Independent,8-Secundrabad,43,0,0,35000,0,0,GRADUATE,NO,NO,YES,3.0,0.0,3.0,0.0,1.0,1.0,0.0,11.0
GUMPULLA KUMAR,Independent,8-Secundrabad,43,1,0,70000,250000,0,GRADUATE,NO,NO,YES,3.0,-1.0,3.0,0.0,1.0,1.0,0.0,9.0
FARAH NAAZ KHAN,Independent,8-Secundrabad,33,0,0,1526600,0,0,GRADUATE,NO,NO,YES,4.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0
SATISH BODDU,Independent,8-Secundrabad,34,0,0,3000,0,0,POST GRADUATE,NO,NO,NO,4.0,0.0,4.0,0.0,1.0,0.0,0.0,13.0
Veerabrahma Ravi,Independent,8-Secundrabad,53,0,0,427374,3000000,0,POST GRADUATE,YES,NO,YES,2.0,0.0,4.0,1.0,1.0,1.0,0.0,13.0
MOHAMMED ABDUL WAKEEL,Independent,8-Secundrabad,47,0,0,80000,0,0,SSC,NO,NO,NO,3.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0
JANKADAM NARSING RAO,Dalita Bahujana Party,8-Secundrabad,64,0,0,580065,500000,0,GRADUATE,YES,NO,YES,1.0,0.0,3.0,1.0,1.0,1.0,0.0,10.0
MATTEM MALLESHAM,Independent,8-Secundrabad,61,0,0,37000,8000000,0,SSC,YES,NO,YES,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0
KOMAL BANU G,Jatiya Mahila Party,8-Secundrabad,28,0,0,115000,0,0,GRADUATE,NO,NO,YES,5.0,0.0,3.0,0.0,1.0,1.0,0.0,13.0
NANDIPATI VINOD KUMAR,Independent,8-Secundrabad,45,0,0,30000,0,0,GRADUATE,NO,NO,NO,3.0,0.0,3.0,0.0,1.0,0.0,0.0,10.0
SYED ALI JAFER,Jana Vaahini Party,8-Secundrabad,53,0,0,0,0,0,SSC,NO,NO,NO,2.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
SATYANARANA YADAV,Independent,8-Secundrabad,59,0,0,500000,1600000,0,9th Class,YES,NO,NO,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
K GATAIAH,Ambedkar National Congress,8-Secundrabad,78,0,0,25000,0,0,INTERMIDIATE,YES,NO,YES,1.0,0.0,2.0,1.0,1.0,1.0,0.0,8.0
VENKATA MOHANA RAO.P,Independent,8-Secundrabad,31,1,0,140000,1320000,0,POST GRADUATE,YES,NO,NO,4.0,-1.0,4.0,1.0,1.0,0.0,0.0,12.0
BHOJRAJ KOYAKAR,Independent,8-Secundrabad,46,0,0,0,0,0,9th Class,NO,NO,NO,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
MOHAMMED MAHETAB KHAN,Independent,8-Secundrabad,51,0,0,50000,0,0,SSC,YES,NO,NO,2.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0
Baswaiah Madiga,Prajaa Swaraaj Party,10-CHELVELLA,47,0,0,995117,400000,1242117,SSC,NO,NO,YES,3.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
Gurram Papi Reddy,Ambedkar National Congress,10-CHELVELLA,43,0,0,65000,591250,0,INTERMIDIATE,YES,NO,YES,3.0,0.0,2.0,1.0,1.0,1.0,0.0,10.0
Jaidupally Yadaiah,Independent,10-CHELVELLA,48,0,0,1000,0,0,8th Class,NO,NO,YES,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0
Giri Kummari,Pyramid Party of India,10-CHELVELLA,37,0,0,80000,0,0,SSC,NO,NO,YES,4.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0
Konda Vishweshwar Reddy,Indian National Congress,10-CHELVELLA,59,0,0,2235917232,362001800,40300475,POST GRADUATE,YES,NO,NO,2.0,0.0,4.0,1.0,1.0,0.0,0.0,12.0
G.Ranjith Reddy,Telangana Rashtra Samithi,10-CHELVELLA,54,0,0,380263841,648330000,147764850,POST GRADUATE,YES,NO,NO,2.0,0.0,4.0,1.0,1.0,0.0,0.0,12.0
Chiluka Sanjivaiah,Telangana Pragati Samithi,10-CHELVELLA,45,0,0,128000,500000,0,POST GRADUATE,YES,NO,YES,3.0,0.0,4.0,1.0,1.0,1.0,0.0,14.0
Sanem Raju Goud,Independent,10-CHELVELLA,36,0,0,1741000,0,0,GRADUATE,YES,NO,YES,4.0,0.0,3.0,1.0,1.0,1.0,0.0,13.0
B.Janardhan Reddy,Bharatiya Janata Party,10-CHELVELLA,58,0,0,125203233,313100000,60281256,INTERMIDIATE,YES,NO,NO,2.0,0.0,2.0,1.0,1.0,0.0,0.0,8.0
Hundekari Satyanarayana,Independent,10-CHELVELLA,68,0,0,50000,0,0,GRADUATE,YES,NO,YES,1.0,0.0,3.0,1.0,1.0,1.0,0.0,10.0
Ija Venkatesh Goud,Social Justice Party of India,10-CHELVELLA,43,0,0,5664064,0,2800000,POST GRADUATE,YES,NO,YES,3.0,0.0,4.0,1.0,1.0,1.0,0.0,14.0
A.A.Sabri,Independent,10-CHELVELLA,69,0,0,67979,2259000,0,INTERMIDIATE,YES,NO,YES,1.0,0.0,2.0,1.0,1.0,1.0,0.0,8.0
Vijay Aarya,Bahujan Samaj Party,10-CHELVELLA,42,0,0,269993,0,0,8th Class,NO,NO,YES,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0
T.Durga Prasad,Independent,10-CHELVELLA,33,0,0,52000,200000,0,POST GRADUATE,NO,NO,YES,4.0,0.0,4.0,0.0,1.0,1.0,0.0,14.0
P.Purushotham,Independent,10-CHELVELLA,38,0,0,233000,0,0,DOCTORATE,NO,NO,YES,4.0,0.0,5.0,0.0,1.0,1.0,0.0,16.0
Nalla Prem Kumar,Prem Janata Dal,10-CHELVELLA,46,0,0,500,0,0,GRADUATE,NO,NO,YES,3.0,0.0,3.0,0.0,1.0,1.0,0.0,11.0
Korra Pandu Naik,Bahujan Mukti Party,10-CHELVELLA,42,0,0,10000,0,0,SSC,YES,NO,YES,3.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0
Yedla Suresh,Independent,10-CHELVELLA,25,0,0,130000,0,0,SSC,NO,NO,YES,5.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0
G.Ravi Kumar Yadav,Independent,10-CHELVELLA,31,0,0,91000,0,0,POST GRADUATE,NO,NO,YES,4.0,0.0,4.0,0.0,1.0,1.0,0.0,14.0
Vanam Sudhakar,Marxist Communist Party of India,10-CHELVELLA,36,0,0,73500,0,0,8th Class,NO,NO,YES,4.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0
Bennala Julee,National Women's Party,10-CHELVELLA,34,0,0,50000,0,0,INTERMIDIATE,NO,NO,YES,4.0,0.0,2.0,0.0,1.0,1.0,0.0,10.0
Chepuri Raju,Dalita Bahujana Party,10-CHELVELLA,39,0,0,15000,0,0,8th Class,NO,NO,YES,4.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0
Ragam Sathesh Yadav,All India Forward Bloc,10-CHELVELLA,36,0,0,3065000,6294000,2000000,POST GRADUATE,YES,NO,YES,4.0,0.0,4.0,1.0,1.0,1.0,0.0,15.0
Palamakula Madhu,India Praja Bandhu Party,10-CHELVELLA,38,0,0,60932,0,0,SSC,NO,NO,YES,4.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0
Anusha Keshavabhatla,Independent,10-CHELVELLA,32,0,0,704000,6207000,3600000,GRADUATE,YES,NO,YES,4.0,0.0,3.0,1.0,1.0,1.0,1.0,14.0
Syed Khalandari,Independent,10-CHELVELLA,47,0,0,375000,40000000,0,9th Class,NO,NO,YES,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0
Avuti Srishailam,Bahujana Left Party,10-CHELVELLA,34,0,0,301000,0,0,SSC,NO,NO,YES,4.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0
Mohammed Abdul Samad Osmani,Independent,10-CHELVELLA,68,1,0,67000,2000000,0,GRADUATE,YES,NO,YES,1.0,-1.0,3.0,1.0,1.0,1.0,0.0,8.0
PERAM SIVA NAGESWARA RAO,Republican Party of India (A),11-Machilipatnam,51,0,0,1000000,20000000,1000000,SSC,YES,NO,YES,2.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
GUDIVAKA RAMANJANEYULU,Bharatiya Janata Party,11-Machilipatnam,57,0,0,1074832,14000000,0,GRADUATE,YES,NO,YES,2.0,0.0,3.0,1.0,1.0,1.0,0.0,11.0
GANDHI DHANEKULA,Independent,11-Machilipatnam,70,0,0,50000,2000000,700000,INTERMIDIATE,YES,NO,YES,1.0,0.0,2.0,1.0,1.0,1.0,0.0,8.0
