CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
DEVEN GOVINDBHAI VANVI,13,JUNAGADH,25448,Bahujan Samaj Party,243,S06,GUJARAT,25691,2.56
VANSH PUNJABHAI BHIMABHAI,13,JUNAGADH,394673,Indian National Congress,2860,S06,GUJARAT,397533,39.57
BHUT ASHOKBHAI BHIMJIBHAI,13,JUNAGADH,3253,Rashtriya Samajwadi Party  (Secular),3,S06,GUJARAT,3256,0.32
RATHOD NATHABHAI VASHARAMBHAI,13,JUNAGADH,910,Vyavastha Parivartan Party,6,S06,GUJARAT,916,0.09
KARIA DHIRENBHAI AMRUTLAL,13,JUNAGADH,880,Independent,4,S06,GUJARAT,884,0.09
ZALA MUKESHBHAI BHARAMALBHAI,13,JUNAGADH,1293,Independent,17,S06,GUJARAT,1310,0.13
PANCHABHAI BHAYABHAI DAMANIYA,13,JUNAGADH,1201,Independent,8,S06,GUJARAT,1209,0.12
PRADIPBHAI MAVJIBHAI TANK,13,JUNAGADH,1132,Independent,7,S06,GUJARAT,1139,0.11
MAKWANA DHARMENDRA VAJUBHAI,13,JUNAGADH,1801,Independent,5,S06,GUJARAT,1806,0.18
VALA JAYPALSINH HAJABHAI,13,JUNAGADH,4130,Independent,35,S06,GUJARAT,4165,0.41
HARESH MANUBHAI SARDHARA,13,JUNAGADH,3479,Independent,12,S06,GUJARAT,3491,0.35
CHAVDA VINOD LAKHAMSHI,1,KACHCHH,631753,Bharatiya Janata Party,5281,S06,GUJARAT,637034,62.26
NARESH NARANBHAI MAHESHWARI,1,KACHCHH,329229,Indian National Congress,2292,S06,GUJARAT,331521,32.4
LAKHUBHAI VAGHELA,1,KACHCHH,7394,Bahujan Samaj Party,54,S06,GUJARAT,7448,0.73
CHAVDA PRAVINBHAI CHANABHAI,1,KACHCHH,2147,Hindusthan Nirman Dal,8,S06,GUJARAT,2155,0.21
DHIRUBHAI BABULAL SHRIMALI,1,KACHCHH,1590,New All India Congress Party,6,S06,GUJARAT,1596,0.16
MAHESHWARI DEVJIBHAI VACHHIYABHAI,1,KACHCHH,10004,Bahujan Mukti Party,94,S06,GUJARAT,10098,0.99
