CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX,WINNER,TOTAL_VOTES,VOTING_PERCENTAGE
8960,KARUPPASAMY. N,27,RAMANATHAPURAM,TAMIL NADU,IND,0,Others,240000.0,0.8033,0.07200000000000001,1,5,0,-0.0173,1,0,M,0,2283.0,0.0021
8963,DEVA SITHAM. I,32,RAMANATHAPURAM,TAMIL NADU,IND,2,Graduate Professional,40179.0,0.8033,0.07200000000000001,1,4,3,-0.0173,1,0,M,0,4199.0,0.0039000000000000003
8966,RAJANIKANTH AGAMUDAIYAR,46,RAMANATHAPURAM,TAMIL NADU,IND,2,Graduate Professional,18920604.0,0.8033,0.07200000000000001,1,3,3,-0.0173,1,0,M,0,3550.0,0.0033000000000000004
8949,NAINAR NAGENTHRAN,59,RAMANATHAPURAM,TAMIL NADU,BJP,1,Post Graduate,114215051.0,0.8033,0.07200000000000001,3,2,4,-0.0173,1,0,M,0,342821.0,0.3216
8952,K. NAVASKANI,39,RAMANATHAPURAM,TAMIL NADU,IUML,1,12th Pass,317729556.0,0.8033,0.07200000000000001,2,4,2,-0.0173,1,0,M,1,469943.0,0.44079999999999997
8955,ALLA PICHAI,75,RAMANATHAPURAM,TAMIL NADU,IND,0,Graduate,18013000.0,0.8033,0.07200000000000001,1,1,3,-0.0173,1,0,M,0,883.0,0.0008
8958,V.D.N. ANANDH. B.E,38,RAMANATHAPURAM,TAMIL NADU,IND,4,Graduate Professional,42954407.0,0.8033,0.07200000000000001,1,4,3,-0.0173,1,0,M,0,141806.0,0.133
8961,B. KRISHNARAJA,44,RAMANATHAPURAM,TAMIL NADU,IND,0,Others,165000.0,0.8033,0.07200000000000001,1,3,0,-0.0173,1,0,M,0,980.0,0.0009
8964,PRABHAKARAN. S,37,RAMANATHAPURAM,TAMIL NADU,IND,2,Post Graduate,1540726.0,0.8033,0.07200000000000001,1,4,4,-0.0173,1,0,M,0,1798.0,0.0017000000000000001
8967,JAWAHIR ALI. H,32,RAMANATHAPURAM,TAMIL NADU,IND,0,10th Pass,415000.0,0.8033,0.07200000000000001,1,4,1,-0.0173,1,0,M,0,2296.0,0.0022
8950,K. PANCHATCHARAM,43,RAMANATHAPURAM,TAMIL NADU,BSP,2,Graduate Professional,8085966.0,0.8033,0.07200000000000001,3,3,3,-0.0173,1,0,M,0,3681.0,0.0034999999999999996
4769,P. LOGANATHAN,39,RAMANATHAPURAM,TAMIL NADU,Pragatishil Samajwadi Party (Lohia),0,10th Pass,13000.0,0.8033,0.07200000000000001,1,4,1,-0.0173,1,0,M,0,1877.0,0.0018
8953,VIJAYA BASKAR,30,RAMANATHAPURAM,TAMIL NADU,Makkal Needhi Maiam,0,Graduate Professional,2636018.0,0.8033,0.07200000000000001,1,4,3,-0.0173,1,0,M,0,14925.0,0.013999999999999999
8956,ANANDHARAJ. M,40,RAMANATHAPURAM,TAMIL NADU,IND,0,12th Pass,1066792.0,0.8033,0.07200000000000001,1,3,2,-0.0173,1,0,M,0,1460.0,0.0014000000000000002
8959,N. KATHIRAVAN,52,RAMANATHAPURAM,TAMIL NADU,IND,0,8th Pass,1270000.0,0.8033,0.07200000000000001,1,2,0,-0.0173,1,0,M,0,1789.0,0.0017000000000000001
8962,K. KURUNTHAPPAN,42,RAMANATHAPURAM,TAMIL NADU,IND,0,8th Pass,2736915.0,0.8033,0.07200000000000001,1,3,0,-0.0173,1,0,M,0,4596.0,0.0043
8965,S. MOHAMED ALI JINNAH,37,RAMANATHAPURAM,TAMIL NADU,IND,0,10th Pass,293000.0,0.8033,0.07200000000000001,1,4,1,-0.0173,1,0,M,0,1460.0,0.0014000000000000002
8968,JEYAPANDIAN. R,26,RAMANATHAPURAM,TAMIL NADU,IND,1,Graduate Professional,-95647.0,0.8033,0.07200000000000001,1,5,3,-0.0173,1,0,M,0,1405.0,0.0013000000000000002
5341,T. BHUVANESWARI,37,RAMANATHAPURAM,TAMIL NADU,Naam Tamilar Katchi,0,Graduate,515530.0,0.8033,0.07200000000000001,1,4,3,-0.0173,1,0,F,0,46385.0,0.0435
8951,G. KESAV YADAV,56,RAMANATHAPURAM,TAMIL NADU,Purvanchal Janta Party (Secular),0,Post Graduate,17792000.0,0.8033,0.07200000000000001,1,2,4,-0.0173,1,0,M,0,2883.0,0.0027
8954,ASAN ALI. A,32,RAMANATHAPURAM,TAMIL NADU,IND,0,12th Pass,307501.0,0.8033,0.07200000000000001,1,4,2,-0.0173,1,0,M,0,1443.0,0.0014000000000000002
7915,JAYAPRADA NAHATA,57,RAMPUR,UTTAR PRADESH,BJP,0,12th Pass,262129741.0,0.6972,0.147,3,2,2,0.0121,7,0,F,0,449180.0,0.42340000000000005
8375,NAIM,51,RAMPUR,UTTAR PRADESH,IND,0,Illiterate,321961.0,0.6972,0.147,1,2,0,0.0121,7,0,M,0,1518.0,0.0014000000000000002
9554,JAVED KHAN,43,RAMPUR,UTTAR PRADESH,IND,1,Illiterate,620608.0,0.6972,0.147,1,3,0,0.0121,7,0,M,0,1963.0,0.0019
7913,SANJAY KAPOOR,56,RAMPUR,UTTAR PRADESH,INC,0,Graduate Professional,91674000.0,0.6972,0.147,3,2,3,0.0121,7,0,M,0,35009.0,0.033
8373,ISHRAT KHAN,42,RAMPUR,UTTAR PRADESH,All India Minorities Front,0,Post Graduate,41000.0,0.6972,0.147,1,3,4,0.0121,7,0,M,0,499.0,0.0005
9552,MOHD. KHUSHI,30,RAMPUR,UTTAR PRADESH,United Democratic Front Secular,4,10th Pass,85000.0,0.6972,0.147,1,4,1,0.0121,7,0,M,0,451.0,0.0004
9555,SAMEENA BEGUM,43,RAMPUR,UTTAR PRADESH,IND,1,Others,325000.0,0.6972,0.147,1,3,0,0.0121,7,0,F,0,2122.0,0.002
7914,MOHAMMAD AZAM KHAN,64,RAMPUR,UTTAR PRADESH,SP,10,Graduate Professional,46124814.0,0.6972,0.147,2,1,3,0.0121,7,0,M,1,559177.0,0.5271
8374,HANEEF KHAN,65,RAMPUR,UTTAR PRADESH,IND,0,10th Pass,847312.0,0.6972,0.147,1,1,1,0.0121,7,0,M,0,2703.0,0.0025
9553,SAROJ,38,RAMPUR,UTTAR PRADESH,Peoples Party of India (Democratic),0,Post Graduate,1594000.0,0.6972,0.147,1,4,4,0.0121,7,0,F,0,652.0,0.0006
7912,ARSHAD WARSI,37,RAMPUR,UTTAR PRADESH,Minorities Democratic Party,3,Literate,1735000.0,0.6972,0.147,1,4,0,0.0121,7,0,M,0,1070.0,0.001
5733,KIRAN PREMKUMAR RODGE,58,RAMTEK,MAHARASHTRA,Vanchit Bahujan Aaghadi,0,Literate,8100000.0,0.8291,0.08800000000000001,1,2,0,0.0047,4,0,F,0,36340.0,0.0304
4886,BANDU RAMCHANDRA MESHRAM,51,RAMTEK,MAHARASHTRA,CPI(ML) Red Star,0,12th Pass,662639.0,0.8291,0.08800000000000001,1,2,2,0.0047,4,0,M,0,1421.0,0.0012
6087,GAUTAM SHRIRAM WASNIK,44,RAMTEK,MAHARASHTRA,IND,0,5th Pass,825000.0,0.8291,0.08800000000000001,1,3,0,0.0047,4,0,M,0,1413.0,0.0012
5724,SHAILESH SAMBHAJI JANBANDHU,44,RAMTEK,MAHARASHTRA,SUCI(C),0,12th Pass,2791420.0,0.8291,0.08800000000000001,1,3,2,0.0047,4,0,M,0,1083.0,0.0009
6095,SUBHASH DHARMDAS GAJBHIYE,29,RAMTEK,MAHARASHTRA,BSP,0,10th Pass,950000.0,0.8291,0.08800000000000001,3,5,1,0.0047,4,0,M,0,44327.0,0.037000000000000005
5727,LAXMAN JYOTIK KANHEKAR,62,RAMTEK,MAHARASHTRA,Peoples Party of India (Democratic),0,Doctorate,7456820.0,0.8291,0.08800000000000001,1,1,5,0.0047,4,0,M,0,1505.0,0.0013000000000000002
5731,NATTHU MADHAV LOKHANDE,70,RAMTEK,MAHARASHTRA,IND,0,Doctorate,9920000.0,0.8291,0.08800000000000001,1,1,5,0.0047,4,0,M,0,2222.0,0.0019
4887,CHANDRABHAN BALIRAM RAMTEKE,57,RAMTEK,MAHARASHTRA,Rashtriya Jansurajya Party,0,12th Pass,7305000.0,0.8291,0.08800000000000001,1,2,2,0.0047,4,0,M,0,1779.0,0.0015
6089,SANDESH BHIORAM BHALEKAR,68,RAMTEK,MAHARASHTRA,IND,0,Graduate Professional,5045000.0,0.8291,0.08800000000000001,1,1,3,0.0047,4,0,M,0,3838.0,0.0032
5725,KRUPAL BALAJI TUMANE,53,RAMTEK,MAHARASHTRA,SHS,0,Graduate,90987557.0,0.8291,0.08800000000000001,2,2,3,0.0047,4,0,M,1,597126.0,0.499
5728,VINOD BHIWAJI PATIL,51,RAMTEK,MAHARASHTRA,Ambedkarite Party of India,0,10th Pass,498000.0,0.8291,0.08800000000000001,1,2,1,0.0047,4,0,M,0,2779.0,0.0023
5732,SONALI RAVINDRA BAGDE,34,RAMTEK,MAHARASHTRA,IND,0,Graduate Professional,15000.0,0.8291,0.08800000000000001,1,4,3,0.0047,4,0,F,0,7876.0,0.006600000000000001
6085,ANIL MAHADEO DHONE,54,RAMTEK,MAHARASHTRA,IND,0,8th Pass,7101186.0,0.8291,0.08800000000000001,1,2,0,0.0047,4,0,M,0,1661.0,0.0014000000000000002
6092,KANTESHWAR KHUSHALJI TUMANE,32,RAMTEK,MAHARASHTRA,IND,0,10th Pass,3188435.0,0.8291,0.08800000000000001,1,4,1,0.0047,4,0,M,0,2397.0,0.002
5726,ARCHANA CHANDRAKUMAR UKEY,45,RAMTEK,MAHARASHTRA,Rashtriya Jansambhavna Party,0,12th Pass,52000.0,0.8291,0.08800000000000001,1,3,2,0.0047,4,0,F,0,8714.0,0.0073
5729,KISHORE UTTAMRAO GAJBHIYE,61,RAMTEK,MAHARASHTRA,INC,0,Post Graduate,75930504.0,0.8291,0.08800000000000001,3,1,4,0.0047,4,0,M,0,470343.0,0.39299999999999996
10552,PARESH HALDAR,58,RANAGHAT,WEST BENGAL,SUCI(C),0,5th Pass,710709.0,0.7708,0.077,1,2,0,-0.0155,7,0,M,0,6454.0,0.0043
10557,RUPALI BISWAS,25,RANAGHAT,WEST BENGAL,AITC,0,Graduate,5643054.0,0.7708,0.077,3,5,3,-0.0155,7,0,F,0,549825.0,0.3705
10550,BIDYUT BISWAS,37,RANAGHAT,WEST BENGAL,IND,0,8th Pass,807700.0,0.7708,0.077,1,4,0,-0.0155,7,0,M,0,5729.0,0.0039000000000000003
10553,GAUTAM RAY,39,RANAGHAT,WEST BENGAL,BSP,0,12th Pass,127000.0,0.7708,0.077,3,4,2,-0.0155,7,0,M,0,8569.0,0.0058
11255,JAGANNATH SARKAR,56,RANAGHAT,WEST BENGAL,BJP,1,Graduate Professional,17622476.0,0.7708,0.077,3,2,3,-0.0155,7,0,M,1,783253.0,0.5278
10551,BISWAS RAMA,56,RANAGHAT,WEST BENGAL,CPI(M),1,Post Graduate,3211830.0,0.7708,0.077,3,2,4,-0.0155,7,0,F,0,97771.0,0.0659
10555,MINATI BISWAS,56,RANAGHAT,WEST BENGAL,INC,0,Graduate,2419489.0,0.7708,0.077,3,2,3,-0.0155,7,0,F,0,23297.0,0.015700000000000002
11681,RAJESH THAPA,31,RANCHI,JHARKHAND,IND,0,10th Pass,100800.0,0.6763,0.026,1,4,1,0.0284,4,0,M,0,4435.0,0.0036
11374,SIDHESHWAR SINGH,72,RANCHI,JHARKHAND,SUCI(C),0,Literate,819326.0,0.6763,0.026,1,1,0,0.0284,4,0,M,0,2224.0,0.0018
11378,PARMESHWAR MAHTO,31,RANCHI,JHARKHAND,Jharkhand Party,0,12th Pass,1403787.0,0.6763,0.026,1,4,2,0.0284,4,0,M,0,2046.0,0.0017000000000000001
11381,RAM TAHAL. CHOUDHARY,77,RANCHI,JHARKHAND,IND,0,10th Pass,45998584.0,0.6763,0.026,1,1,1,0.0284,4,0,M,0,29539.0,0.0239
11985,SUNITA MUNDA,28,RANCHI,JHARKHAND,Ambedkarite Party of India,0,Post Graduate,245000.0,0.6763,0.026,1,5,4,0.0284,4,0,F,0,6667.0,0.0054
11679,VIKAS CHANDRA SHARMA,40,RANCHI,JHARKHAND,CPI(ML) Red Star,0,Post Graduate,112000.0,0.6763,0.026,1,3,4,0.0284,4,0,M,0,1403.0,0.0011
11682,AMAR KUMAR MAHTO,29,RANCHI,JHARKHAND,RPI(A),0,12th Pass,4880000.0,0.6763,0.026,1,5,2,0.0284,4,0,M,0,5833.0,0.0047
11372,SATISH SINGH,35,RANCHI,JHARKHAND,IND,0,Graduate Professional,5942098.0,0.6763,0.026,1,4,3,0.0284,4,0,M,0,1472.0,0.0012
11375,RAMJIT MAHTO,38,RANCHI,JHARKHAND,Proutist Sarva Samaj,0,Post Graduate,2940000.0,0.6763,0.026,1,4,4,0.0284,4,0,M,0,1503.0,0.0012
11379,RANJIT MAHTO,54,RANCHI,JHARKHAND,Peoples Party of India (Democratic),0,Post Graduate,1672800.0,0.6763,0.026,1,2,4,0.0284,4,0,M,0,1388.0,0.0011
11382,BIDYADHAR PRASAD,36,RANCHI,JHARKHAND,BSP,0,Post Graduate,19425000.0,0.6763,0.026,3,4,4,0.0284,4,0,M,0,8789.0,0.0070999999999999995
11165,JAY PRAKASH PRASAD,47,RANCHI,JHARKHAND,IND,0,12th Pass,5258000.0,0.6763,0.026,1,3,2,0.0284,4,0,M,0,2830.0,0.0023
11675,RAJU MAHTO,52,RANCHI,JHARKHAND,IND,1,Graduate,1829000.0,0.6763,0.026,1,2,3,0.0284,4,0,M,0,9368.0,0.0076
11680,ANJANI PANDEY,61,RANCHI,JHARKHAND,IND,0,Graduate Professional,30000.0,0.6763,0.026,1,1,3,0.0284,4,0,M,0,3584.0,0.0029
11373,RAJESH KUMAR,54,RANCHI,JHARKHAND,IND,0,8th Pass,955551.0,0.6763,0.026,1,2,0,0.0284,4,0,M,0,2651.0,0.0021
11377,SUBODH KANT SAHAY,67,RANCHI,JHARKHAND,INC,1,Graduate,61692406.0,0.6763,0.026,3,1,3,0.0284,4,0,M,0,423730.0,0.3431
11380,JITENDRA THAKUR,63,RANCHI,JHARKHAND,IND,0,Others,11506560.0,0.6763,0.026,1,1,0,0.0284,4,0,M,0,6378.0,0.005200000000000001
11383,SANJAY SETH,60,RANCHI,JHARKHAND,BJP,0,Graduate Professional,13944267.0,0.6763,0.026,3,1,3,0.0284,4,0,M,1,706510.0,0.5721
11983,NAND KISHOR YADAV,64,RANCHI,JHARKHAND,IND,0,10th Pass,2832413.0,0.6763,0.026,1,1,1,0.0284,4,0,M,0,7796.0,0.0063
11676,ALOK KUMAR,26,RANCHI,JHARKHAND,Rashtriya Jansangharsh Swaraj Party,0,Graduate,70000.0,0.6763,0.026,1,5,3,0.0284,4,0,M,0,2401.0,0.0019
13100,KANTILAL BHURIA,68,RATLAM,MADHYA PRADESH,INC,1,Post Graduate,89775618.0,0.7063,0.053,3,1,4,0.0943,4,0,M,0,605467.0,0.43229999999999996
14065,KATARA RUKHAMAN SINGH,34,RATLAM,MADHYA PRADESH,Bahujan Mukti Party,0,Graduate Professional,1561615.0,0.7063,0.053,1,4,3,0.0943,4,0,M,0,3850.0,0.0027
14068,SURAJSINGH KALIYA,86,RATLAM,MADHYA PRADESH,JD(U),0,5th Pass,4374823.0,0.7063,0.053,2,1,0,0.0943,4,0,M,0,6320.0,0.0045000000000000005
13101,GUMAN SINGH DAMOR,62,RATLAM,MADHYA PRADESH,BJP,0,Graduate Professional,37181322.0,0.7063,0.053,3,1,3,0.0943,4,0,M,1,696103.0,0.49700000000000005
14066,KAMLESHWAR BHIL,28,RATLAM,MADHYA PRADESH,Bhartiya Tribal Party,4,Graduate,62500.0,0.7063,0.053,1,5,3,0.0943,4,0,M,0,14784.0,0.0106
14069,NILESH DAMOR,25,RATLAM,MADHYA PRADESH,IND,0,Graduate,89198.0,0.7063,0.053,1,5,3,0.0943,4,0,M,0,6378.0,0.0046
13102,MADHU SINGH PATEL(CHOUHAN),39,RATLAM,MADHYA PRADESH,BSP,0,10th Pass,152000.0,0.7063,0.053,3,4,1,0.0943,4,0,M,0,13753.0,0.0098
14067,SURAJ BHABHAR,26,RATLAM,MADHYA PRADESH,All India Hindustan Congress Party,0,Graduate,172000.0,0.7063,0.053,1,5,3,0.0943,4,0,M,0,5584.0,0.004
14070,RANGLA-KALESH,28,RATLAM,MADHYA PRADESH,IND,0,Graduate,20161.0,0.7063,0.053,1,5,3,0.0943,4,0,M,0,12839.0,0.0092
10742,NILESH BHIKAJI BHATADE,28,RATNAGIRI SINDHUDURG,MAHARASHTRA,IND,0,Graduate,316000.0,0.8291,0.08800000000000001,1,5,3,0.0047,4,0,M,0,17668.0,0.0196
8759,NILESH NARAYAN RANE,38,RATNAGIRI SINDHUDURG,MAHARASHTRA,Maharashtra Swabhimaan Paksh,5,Doctorate,177773563.0,0.8291,0.08800000000000001,1,4,5,0.0047,4,0,M,0,279700.0,0.3104
8763,ADV. SANJAY SHARAD GANGNAIK8,51,RATNAGIRI SINDHUDURG,MAHARASHTRA,Samajwadi Forward Bloc,0,Graduate Professional,11829351.0,0.8291,0.08800000000000001,1,2,3,0.0047,4,0,M,0,2134.0,0.0024
7995,KISHOR SIDU VARAK,29,RATNAGIRI SINDHUDURG,MAHARASHTRA,BSP,2,12th Pass,908800.0,0.8291,0.08800000000000001,3,5,2,0.0047,4,0,M,0,6868.0,0.0076
10740,AMBERKAR PANDHARINATH VIDYADHAR,39,RATNAGIRI SINDHUDURG,MAHARASHTRA,IND,1,8th Pass,5621192.0,0.8291,0.08800000000000001,1,4,0,0.0047,4,0,M,0,3257.0,0.0036
10743,VINAYAK LAVU RAUT,48,RATNAGIRI SINDHUDURG,MAHARASHTRA,IND,1,8th Pass,1003002.0,0.8291,0.08800000000000001,1,3,0,0.0047,4,0,M,0,4393.0,0.0049
